pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category,bibtex_url
2018-12-28,Hermite methods for the scalar wave equation,SIAM Journal on Scientific Computing,,"D. Appelö, T. Hagstrom and A. Vargas. SIAM Journal on Scientific Computing, 40(6):A3902-A3927, 2018.",hermite-methods-scalar-wave,https://arxiv.org/abs/1802.05246,,manuscripts,
2018-12-27,Flux-conservative Hermite methods for simulation of nonlinear conservation laws with shocks,Journal of Scientific Computing,,"A. Kornelus and D. Appelö. Journal of Scientific Computing, 76:24-47, 2018.",flux-conservative-hermite,https://doi.org/10.1007/s10915-017-0613-6,,manuscripts,
2018-12-26,A MultiOrder discontinuous Galerkin Monte Carlo method for hyperbolic problems with stochastic parameters,SIAM Journal on Numerical Analysis,,"M. Motamed and D. Appelö. SIAM Journal on Numerical Analysis, 56(1):448-468, 2018.",multiorder-dg-monte-carlo,,,manuscripts,
2018-12-25,An energy-based discontinuous Galerkin discretization of the elastic wave equation in second order form,Computer Methods in Applied Mechanics and Engineering,,"D. Appelö and T. Hagstrom. Computer Methods in Applied Mechanics and Engineering, 338:362-391, 2018.",energy-based-dg-elastic-wave,https://doi.org/10.1016/j.cma.2018.04.014,,manuscripts,
2017-12-28,An explicit Hermite-Taylor method for the Schrodinger equation,Communications in Computational Physics,,"D. Appelö, G. Kreiss and S. Wang. Communications in Computational Physics, 21(5):1207-1230, 2017.",explicit-hermite-taylor-schrodinger,,,manuscripts,
2015-12-28,A new discontinuous Galerkin formulation for wave equations in second order form,SIAM Journal on Numerical Analysis,,"D. Appelö and T. Hagstrom. SIAM Journal on Numerical Analysis, 53(6):2705-2726, 2015.",new-dg-formulation-wave,,,manuscripts,
2014-12-28,A hybrid Hermite-discontinuous Galerkin method for hyperbolic systems with application to Maxwell's equations,Journal of Computational Physics,,"X. Chen, D. Appelö and T. Hagstrom. Journal of Computational Physics, 257, Part A:501-520, 2014.",hybrid-hermite-dg-maxwell,,,manuscripts,
2012-12-28,A fourth-order embedded boundary method for the wave equation,SIAM Journal on Scientific Computing,,"D. Appelö and N. A. Petersson. SIAM Journal on Scientific Computing, 34(6):2982-3008, 2012.",fourth-order-embedded-boundary-wave,,,manuscripts,
2012-12-27,Numerical methods for solid mechanics on overlapping grids: Linear elasticity,Journal of Computational Physics,,"D. Appelö, J. W. Banks, W. D. Henshaw and D. W. Schwendeman. Journal of Computational Physics, 231(18):6012-6050, 2012.",solid-mechanics-overlapping-grids,,,manuscripts,
2012-12-26,Simulation of compressible flows using Hermite methods,The Journal of the Acoustical Society of America,,"T. Hagstrom, D. Appelö, T. Colonius, M. Inkman and C. Y. Jang. The Journal of the Acoustical Society of America, 131(4):3429-3429, 2012.",simulation-compressible-flows-hermite,,,manuscripts,
2011-12-28,On advection by Hermite methods,Pacific Journal of Applied Mathematics,,"D. Appelö and T. Hagstrom. Pacific Journal of Applied Mathematics, 4(2):125-139, 2011.",on-advection-by-hermite-methods,,,manuscripts,
2011-12-27,Minimum energy path to membrane pore formation and rupture,Physical Review Letters,,"C. L. Ting, D. Appelö and Z. G. Wang. Physical Review Letters, 106(16):168101, 2011.",minimum-energy-path-membrane-pore,,,manuscripts,
2010-12-28,Computational modeling and experiments of natural convection for a Titan Montgolfiere,AIAA Journal,,"A. Samanta, D. Appelö, T. Colonius, J. Nott and J. Hall. AIAA Journal, 5:1007-1016, 2010.",titan-montgolfiere-aiaa-journal,,,manuscripts,
2009-12-28,A high-order super-grid-scale absorbing layer and its application to linear hyperbolic systems,Journal of Computational Physics,,"D. Appelö and T. Colonius. Journal of Computational Physics, 228(11):4200-4217, 2009.",high-order-super-grid-scale-absorbing-layer,,,manuscripts,
2009-12-27,A stable finite difference method for the elastic wave equation on complex geometries with free surfaces,Communications in Computational Physics,,"D. Appelö and N. A. Petersson. Communications in Computational Physics, 5(1):84-107, 2009.",stable-fd-elastic-wave-free-surfaces,,,manuscripts,
